"lunaid","vdate","npop","meanval","sdval","meansize","meanauto","meanpump","totalval"
11338,20160319,8,0.473333333333333,0.293856283158137,45.5833333333333,19.25,26.3333333333333,5.68
11338,20171028,10,0.691,0.424171087075853,NA,30.7,NA,6.91
11342,20141104,7,0.516923076923077,0.0883538921406989,40.3076923076923,11,29.3076923076923,6.72
11343,20141108,7,0.460769230769231,0.284794122670557,NA,21.1538461538462,NA,5.99
11344,20141111,10,0.651,0.0530094331227943,NA,34.4,NA,6.51
11345,20141112,9,0.643636363636364,0.218049202120656,NA,31.8181818181818,NA,7.08
11346,20141115,4,0.33125,0.178694338653094,29.75,9.125,20.625,5.3
11346,20151010,7,0.546923076923077,0.25901687896688,49.3846153846154,19.7692307692308,29.6153846153846,7.11
11346,20180317,8,0.498333333333333,0.224775982756705,40.0833333333333,12.25,27.8333333333333,5.98
11347,20141117,7,0.588461538461538,0.09915023565665,52.0769230769231,20,32.0769230769231,7.65
11350,20141120,8,0.5075,0.132536444387606,45.8333333333333,17.0833333333333,28.75,6.09
11353,20141201,11,0.606666666666667,0.115433963806152,NA,27.1111111111111,NA,5.46
11361,20150303,2,0.203888888888889,0.033279368080979,23.8333333333333,9.27777777777778,14.5555555555556,3.67
11366,20150418,5,0.274,0.0716937933157397,NA,14.6,NA,4.11
11370,20160208,8,0.6425,0.142134699237282,64.25,30.25,34,7.71
11389,20151217,4,0.350625,0.124014448083009,NA,18.9375,NA,5.61
11389,20170626,6,0.482142857142857,0.191077051370487,34.2142857142857,6.85714285714286,27.3571428571429,6.75
11389,20190313,7,0.556923076923077,0.122228243829909,34.8461538461538,4.07692307692308,30.7692307692308,7.24
11393,20160209,7,0.620769230769231,0.364016060507902,NA,20.7692307692308,NA,8.07
11393,20170911,7,0.523846153846154,0.243294693103462,38.6153846153846,9.69230769230769,28.9230769230769,6.81
11393,20190521,5,0.566,0.187113410987638,NA,12.8666666666667,NA,8.49
11394,20150918,8,0.5875,0.35422450508117,NA,27.0833333333333,NA,7.05
11394,20170505,9,0.788181818181818,0.324648061192984,NA,37.2727272727273,NA,8.67
11394,20190111,8,0.7,0.304003588495567,NA,32.75,NA,8.4
11395,20160227,9,0.746363636363636,0.285631676369157,57.1818181818182,20.1818181818182,37,8.21
11395,20171009,13,0.737142857142857,0.317947285238412,NA,24.7142857142857,NA,5.16
11403,20151008,9,0.543636363636364,0.274272591677431,42.5454545454545,13.1818181818182,29.3636363636364,5.98
11403,20170328,11,0.717777777777778,0.205291121202171,NA,30.1111111111111,NA,6.46
11405,20151111,13,0.735714285714286,0.211254754807014,NA,33.8571428571429,NA,5.15
11405,20170523,9,0.604545454545454,0.236827516828752,NA,28.0909090909091,NA,6.65
11409,20150909,9,0.729090909090909,0.277252756359772,NA,30.3636363636364,NA,8.02
11409,20170515,8,0.6025,0.221446689665112,NA,32.0833333333333,NA,7.23
11409,20190218,8,0.729166666666667,0.283884045897531,NA,29.5833333333333,NA,8.75
11411,20151209,11,0.61,0.248997991959775,NA,31.1111111111111,NA,5.49
11411,20170818,7,0.657692307692308,0.287203581864672,NA,32.9230769230769,NA,8.55
11411,20190530,8,0.596666666666667,0.212060597400123,48.0833333333333,16.1666666666667,31.9166666666667,7.16
11414,20151017,8,0.688333333333333,0.160047341481049,NA,27.6666666666667,NA,8.26
11414,20170516,9,0.766363636363636,0.243157262991371,67.8181818181818,29.7272727272727,38.0909090909091,8.43
11415,20150929,11,0.656666666666667,0.27046256672597,NA,27.7777777777778,NA,5.91
11415,20170608,8,0.7075,0.251255936157826,NA,21.8333333333333,NA,8.49
11419,20151014,6,0.500714285714286,0.225574967436695,49.7142857142857,21.7857142857143,27.9285714285714,7.01
11419,20170523,7,0.574615384615385,0.28277244634203,NA,27.3076923076923,NA,7.47
11419,20190117,6,0.494285714285714,0.154756100201092,47.0714285714286,18.9285714285714,28.1428571428571,6.92
11421,20170407,12,0.72,0.104880884817015,NA,33.5,NA,5.76
11421,20181018,11,0.788888888888889,0.399169276261477,NA,33.4444444444444,NA,7.1
11425,20160127,11,0.663333333333333,0.393986040361838,NA,29.8888888888889,NA,5.97
11425,20171120,7,0.4,0.101734949746879,NA,19.8461538461538,NA,5.2
11425,20190708,8,0.561666666666667,0.181199705665692,55,24.3333333333333,30.6666666666667,6.74
11426,20151013,7,0.462307692307692,0.11819150041027,45.5384615384615,18.6923076923077,26.8461538461538,6.01
11426,20170425,9,0.713636363636364,0.113602176675689,67.3636363636364,30.7272727272727,36.6363636363636,7.85
11426,20190212,10,0.741,0.212730920282982,NA,36,NA,7.41
11429,20150911,10,0.616,0.18099723754798,52,19.2,32.8,6.16
11429,20170403,10,0.599,0.269997942378991,NA,26.5,NA,5.99
11431,20150915,10,0.569,0.218908910533836,NA,29,NA,5.69
11431,20170320,9,0.636363636363636,0.21923835099146,NA,25.4545454545455,NA,7
11431,20190130,7,0.481538461538462,0.121439021312904,NA,21.6923076923077,NA,6.26
11434,20160331,10,0.55,0.0333333333333333,NA,29,NA,5.5
11436,20150923,6,0.385714285714286,0.257613732484965,NA,14.4285714285714,NA,5.4
11437,20150923,10,0.702,0.283971829588782,66.6,31.1,35.5,7.02
11439,20150928,5,0.394666666666667,0.149468901049524,40.1333333333333,16.4666666666667,23.6666666666667,5.92
11441,20150930,10,0.653,0.270187177917663,NA,26.3,NA,6.53
11441,20170404,10,0.611,0.213669006747456,NA,30.3,NA,6.11
11441,20190117,10,0.722,0.228609322255726,NA,29.2,NA,7.22
11443,20150930,9,0.659090909090909,0.260286555375207,48.0909090909091,14,34.0909090909091,7.25
